Component,Origin,License,Copyright
aws-lambda-java-log4j,https://github.com/aws/aws-lambda-java-libs/tree/master/aws-lambda-java-log4j2,Apache-2.0,
aws-lambda-java-events,https://github.com/aws/aws-lambda-java-libs/tree/master/aws-lambda-java-events,Apache-2.0,
junit 4,https://github.com/junit-team/junit4,EPL-2.0,Copyright Â© 2002-2020 JUnit
gson,https://github.com/google/gson,Apache-2.0,Copyright 2008 Google Inc.
jetbrains java annotations,https://github.com/JetBrains/java-annotations,Apache-2.0,
apache java http client,https://hc.apache.org/httpcomponents-client-4.5.x/,Apache-2.0,
OKHttp Client,https://square.github.io/okhttp/,Apache-2.0,
apache commons lang,https://github.com/apache/commons-lang/,Apache-2.0,
aws-lambda-java-core,https://github.com/aws/aws-lambda-java-libs/tree/master/aws-lambda-java-core,Apache-2.0,
aws-xray-recorder-sdk-core,https://github.com/aws/aws-xray-sdk-java/tree/master/aws-xray-recorder-sdk-core,Apache-2.0,
byte-buddy-agent,https://mvnrepository.com/artifact/net.bytebuddy/byte-buddy-agent,Apache-2.0,
JNA,https://github.com/java-native-access/jna,Apache-2.0,
Moshi,https://github.com/square/moshi,Apache-2.0,
opentracing-java,https://github.com/opentracing/opentracing-java,Apache-2.0,